disease_id,Nama Penyakit,Nama Tanaman,Deskripsi,Penyebab,Rekomendasi Perawatan Tanaman ,Tips Pencegahan
disease_00,Apple Scab ,Apple,"Apple scab ditandai dengan bercak-bercak gelap pada daun, buah, dan batang, yang dapat menyebabkan kerusakan serius pada tanaman dan mengurangi kualitas buah.",Jamur Venturia inaequalis,"Untuk mengatasi apple scab, penting untuk menggunakan fungisida yang efektif. Pastikan penyemprotan dilakukan sesuai dengan petunjuk yang tertera pada kemasan, terutama saat cuaca lembap. Selain itu, buang daun yang terinfeksi untuk mencegah penyebaran penyakit. Pemangkasan tanaman untuk meningkatkan sirkulasi udara juga sangat dianjurkan.",Jaga sirkulasi udara di sekitar tanaman dengan memangkas cabang yang rimbun dan pastikan tidak ada genangan air di area tanam. Pilih varietas apel yang tahan terhadap penyakit ini sebagai langkah pencegahan yang efektif.
disease_01,Black Rot on Apple,Apple,Black rot ditandai dengan pembusukan pada buah dan bercak hitam di daun. Penyakit ini dapat mengurangi hasil panen dan menurunkan kualitas buah.,Jamur Botryosphaeria obtusa,"Segera buang buah yang terinfeksi dan gunakan fungisida sesuai dosis yang disarankan. Aplikasi fungisida harus dilakukan sebelum gejala muncul, terutama saat tanaman sedang berbunga dan berbuah. Melakukan pemeriksaan rutin pada tanaman juga penting untuk mendeteksi gejala lebih awal.",Pemangkasan yang baik dan sanitasi area tanam sangat penting. Pastikan untuk membersihkan puing-puing tanaman yang terinfeksi dan menjaga alat berkebun tetap bersih untuk mencegah penyebaran patogen.
disease_02,Cedar Apple Rust,Apple,Cedar apple rust ditandai dengan bercak oranye pada daun dan dapat menyebabkan kerusakan serius serta mengurangi hasil panen.,Jamur Gymnosporangium juniperi-virginianae,Pemangkasan pada cabang yang terkena dan penggunaan fungisida yang efektif dapat membantu mengendalikan penyakit ini. Aplikasikan fungisida pada awal musim tanam dan ulangi setiap beberapa minggu saat kondisi memungkinkan infeksi.,Hindari penanaman dekat pohon cedar yang dapat menjadi inang bagi jamur. Jaga kelembapan tanaman agar tidak terlalu lembap dan pastikan ada cukup ruang antar tanaman untuk meningkatkan sirkulasi udara.
disease_03,Healthy Apple,Apple,"Tanaman apel Anda dalam kondisi sehat, tumbuh dengan baik dan bebas dari tanda-tanda penyakit. Dengan perawatan yang tepat, Anda dapat menikmati hasil panen yang melimpah.",,"Untuk menjaga kesehatan tanaman apel, lakukan penyiraman yang konsisten terutama di musim panas, tetapi hindari genangan air. Pastikan tanaman mendapatkan sinar matahari minimal 6-8 jam per hari. Pemupukan secara berkala dengan pupuk organik akan membantu meningkatkan kualitas buah. Jangan lupa untuk memangkas cabang yang mati atau terlalu rapat untuk meningkatkan sirkulasi udara. Lakukan pemantauan rutin untuk mendeteksi hama atau gejala penyakit sejak dini.",
disease_04,Background Without Leaf,,,,,
disease_05,Healthy Blueberry,Blueberry,Blueberry Anda dalam kondisi sehat dan siap untuk tumbuh optimal. Kesehatan tanaman yang baik ini menunjukkan bahwa Anda telah melakukan langkah-langkah perawatan yang benar.,,"Pastikan blueberry mendapatkan pH tanah yang sesuai antara 4,5 hingga 5,5. Penyiraman harus dilakukan secara teratur, terutama saat buah mulai terbentuk. Gunakan mulsa untuk menjaga kelembapan tanah dan mencegah pertumbuhan gulma. Pemupukan dengan pupuk yang kaya nitrogen di awal musim tanam akan membantu pertumbuhan vegetatif yang baik. Jagalah tanaman dari hama dengan menggunakan insektisida alami jika diperlukan.",
disease_06,Cherry Powdery Mildey,Cherry,"Penyakit ini ditandai dengan lapisan putih berbubuk pada daun, yang menyebabkan daun layu dan mengurangi hasil buah.",Jamur Podosphaera atau Erysiphe,Terapkan fungisida saat gejala pertama kali muncul dan ulangi sesuai petunjuk. Penting untuk memangkas daun yang terinfeksi dan membersihkan area sekitar tanaman untuk mengurangi sumber infeksi. Pastikan kelembapan tanah terjaga agar tidak berlebih.,Sirkulasi udara yang baik dapat dicapai dengan memberikan jarak antar tanaman. Hindari penyiraman pada sore hari dan pilih pagi hari untuk menyiram agar air tidak tertinggal di daun.
disease_07,Healthy Cherry,Cherry,"Tanaman cherry Anda sehat dan tumbuh dengan baik, menunjukkan pertumbuhan yang kuat dan tidak ada tanda-tanda infeksi.",,"Berikan penyiraman yang cukup, terutama saat cuaca panas dan selama pembentukan buah. Gunakan pupuk yang mengandung kalium dan fosfor untuk meningkatkan kualitas buah. Pemangkasan pada akhir musim dingin dapat membantu mendorong pertumbuhan baru dan meningkatkan sirkulasi udara di dalam kanopi tanaman. Pastikan tanaman cherry Anda terlindungi dari hama dengan memantau secara berkala dan menggunakan metode pencegahan alami.",
disease_08,Corn Cercospora Leaf Spot Gray Leaf Spot,Corn,Cercospora leaf spot ditandai dengan bercak-bercak gelap pada daun yang dapat menyebar dan menyebabkan daun mengering. Penyakit ini dapat mengurangi fotosintesis dan hasil panen.,Jamur Cercospora zeae-maydis,"Untuk mengatasi Cercospora leaf spot pada jagung, penting untuk menerapkan fungisida yang efektif segera setelah gejala pertama kali muncul, dan ulangi aplikasi sesuai dengan instruksi pada label produk. Pemangkasan daun yang terinfeksi juga harus dilakukan untuk mengurangi penyebaran patogen ke daun sehat. Selain itu, rotasi tanaman dapat membantu memutus siklus hidup jamur dan mengurangi akumulasi patogen di dalam tanah.","Untuk mencegah penyakit ini, pastikan ada jarak yang cukup antar tanaman guna meningkatkan sirkulasi udara, yang pada gilirannya akan mengurangi kelembapan di sekitar tanaman. Hindari juga penyiraman yang berlebihan, terutama di sore hari, agar kelembapan pada daun dapat cepat kering dan tidak mendukung pertumbuhan jamur."
disease_09,Corn Common Rust,Corn,"Common rust ditandai dengan bercak-bercak merah-cokelat yang muncul di daun dan dapat mengurangi hasil panen. Jika tidak diatasi, penyakit ini dapat mengakibatkan kehilangan hasil yang signifikan.",Jamur Puccinia sorghi,"Dalam menangani common rust, aplikasi fungisida yang direkomendasikan harus dilakukan saat gejala pertama muncul, diikuti dengan pengelolaan kelembapan di sekitar tanaman untuk memastikan tidak terlalu tinggi, karena kondisi lembap mendukung pertumbuhan jamur. ","Untuk mencegah infeksi, sangat disarankan untuk melakukan rotasi dengan varietas jagung yang lebih tahan terhadap common rust. Selain itu, lakukan pengawasan dan pemantauan secara rutin untuk mendeteksi gejala penyakit lebih awal, sehingga penanganan dapat dilakukan dengan cepat dan efektif."
